,Name,Description,Address,Neighborhoods,Rental listings,Year built,Structure,Web,Leasing Manager,Manager Phone,Phone
942,37 Wall Street,37 Wall Street is a  turn-of-the-century  high-rise  doorman elevator  building.   The building's amenities include a gym.,"37 Wall Street,  New York, NY 10005","Financial District,   Manhattan",6 no-fee ads,1906  (approximate),26 floors 372 units,www.37wall.com,Skyline Developers,,(917) 397-5713
943,37-39 West 8th Street,37-39 West 8th Street is a   mid-rise  landmark elevator  building.,"37 West 8th Street,  39 West 8th Street,  New York, NY 10011","Central Village,   Manhattan",(no current listings),1923,9 floors 19 units,,,,
944,371 Broome Street,371 Broome Street is a   mid-rise  walk-up  building.,"371 Broome Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1900,6 floors 30 units,,,,
945,377 Bleecker Street,377 Bleecker Street is a   low-rise  landmark walk-up  building.,"377 Bleecker Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,5 floors 17 units,,,,
946,377 Broome Street,377 Broome Street is a   low-rise  walk-up  building.,"377 Broome Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1900,5 floors 17 units,,,,
947,37A Bedford Street,37A Bedford Street is a   mid-rise  walk-up  building.,"37A Bedford Street,  New York, NY 10014","West Village, Central Village,   Manhattan",(no current listings),1900,6 floors 30 units,,JR Properties,212-463-9970  212-463-9988 fax,
948,38 Grand Street,38 Grand Street is a   low-rise  walk-up  building.,"38 Grand Street,  New York, NY 10013","SoHo,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
949,38 Ludlow Street,38 Ludlow Street is a   low-rise  walk-up  building.,"38 Ludlow Street,  New York, NY 10002","Chinatown,   Manhattan",(no current listings),1910,5 floors 16 units,,,,
950,380 Broome Street,380 Broome Street is a   mid-rise  walk-up  building.,"380 Broome Street,  New York, NY 10013","Little Italy,   Manhattan",1 no-fee ad,1900,6 floors 22 units,,,,
951,380 East 10th Street,380 East 10th Street is a   low-rise  walk-up  building.,"380 East 10th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1930,5 floors 18 units,,9300 Realty Inc,212-228-9300,
952,382 East 10th Street,382 East 10th Street is a   low-rise  walk-up  building.,"382 East 10th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",1 no-fee ad,1930,5 floors 18 units,,9300 Realty Inc,212-228-9300,
953,384 Broome Street,384 Broome Street is a   mid-rise  walk-up  building.,"384 Broome Street,  New York, NY 10013","Little Italy,   Manhattan",1 no-fee ad,1900,6 floors 20 units,,,,
954,39 Christopher Street,39 Christopher Street is a   mid-rise  landmark walk-up  building.,"39 Christopher Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1900,6 floors 22 units,,,,
955,39 Jane Street,39 Jane Street is a   low-rise  landmark elevator  building.,"39 Jane Street,  New York, NY 10014","West Village,   Manhattan",1 fee ad,1910,3 floors 47 units,,H.M. Village Realty,212-255-2600,
956,394 East 8th Street,394 East 8th Street is a  modern  mid-rise  elevator  building.   The building's amenities include a laundry.  Some of the apartments in this building  have  high ceilings.,"394 East 8th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",2 no-fee ads,2000,7 floors 38 units,,"K&R Realty Management, Inc",212-360-5092,
957,396 Bleecker Street,396 Bleecker Street is a   low-rise  landmark walk-up  building.,"396 Bleecker Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,4 floors 17 units,,,,
958,40 East 12th Street,40 East 12th Street is a  turn-of-the-century  mid-rise  elevator  building.   The building's amenities include a laundry.,"40 East 12th Street,  New York, NY 10003","Central Village,   Manhattan",(no current listings),1900,8 floors 23 units,,,,
959,40 Gold Street,40 Gold Street is a  modern  high-rise  doorman elevator  building.   The building's amenities include a laundry and a gym.,"40 Gold Street,  New York, NY 10038","Financial District,   Manhattan",(no current listings),2009,14 floors 56 units,www.fortygold.com,,,
960,40 Grove Street,40 Grove Street is a  post-war  low-rise  landmark walk-up  building.,"40 Grove Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1950,4 floors 19 units,,Citi Urban Management Corp.,212-260-2066,
961,40 Horatio Street,40 Horatio Street is a   low-rise  landmark walk-up  building.,"40 Horatio Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,5 floors 20 units,,,,
962,40 Ludlow Street,40 Ludlow Street is a   low-rise  walk-up  building.,"40 Ludlow Street,  New York, NY 10002","Chinatown,   Manhattan",(no current listings),1910,5 floors 16 units,,,,
963,40 Rivington Street,40 Rivington Street is a   mid-rise  walk-up  building.    Some of the apartments in this building  have  high ceilings.,"40 Rivington Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,6 floors 22 units,,,,
964,400 East 11th Street,400 East 11th Street is a   low-rise  walk-up  building.,"400 East 11th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
965,401 West Broadway,401 West Broadway is a  nineteenth century  low-rise  landmark walk-up  building.,"401 West Broadway,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1880,3 floors 20 units,,,,
966,402 East 12th Street,402 East 12th Street is a   low-rise  walk-up  building.,"402 East 12th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1900,5 floors 16 units,,Icon Realty Management LLC,212-675-7100,
967,403 East 8th Street,403 East 8th Street is a   mid-rise  walk-up  building.,"403 East 8th Street,  New York, NY 10009","East Village,   Manhattan",1 no-fee ad,1900,6 floors 20 units,,,,
968,405 East 12th Street,405 East 12th Street is a   low-rise  walk-up  building.     Rent includes heat.,"405 East 12th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1900,5 floors 28 units,,Jakobson Properties,212-533-1300,
969,406 East 9th Street,406 East 9th Street is a   mid-rise  walk-up  building.,"406 East 9th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1929,6 floors 22 units,,,,
970,41 Avenue B,41 Avenue B is a  modern  mid-rise  elevator  building.   The building's amenities include a laundry.,"41 Avenue B,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1999  (approximate),7 floors 22 units,www.gonofee.com,"K&R Realty Management, Inc",212-360-5092,
971,41 Bedford Street,41 Bedford Street is a   low-rise  elevator  building.,"41 Bedford Street,  New York, NY 10014","West Village, Central Village,   Manhattan",(no current listings),1929,5 floors 25 units,,GPG Management,212-288-1999,
972,41 Henry Street,41 Henry Street is a   low-rise  walk-up  building.    The apartments  have  high ceilings.,"41 Henry Street,  New York, NY 10002","Chinatown, Two Bridges,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
973,41 Perry Street,41 Perry Street is a   mid-rise  landmark walk-up  building.,"41 Perry Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,6 floors 20 units,,,,
974,410 East 13th Street,410 East 13th Street is a   mid-rise  walk-up  building.,"410 East 13th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1900,6 floors 35 units,,9300 Realty Inc,212-228-9300,
975,412 East 10th Street,412 East 10th Street is a   mid-rise  walk-up  building.,"412 East 10th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1930,6 floors 26 units,,,,
976,412 East 9th Street,412 East 9th Street is a   low-rise  walk-up  building.,"412 East 9th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1920,5 floors 20 units,,,,
977,413 East 12th Street,413 East 12th Street is a   mid-rise  walk-up  building.,"413 East 12th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1920,6 floors 15 units,,East Village Property Management,212-505-2499  212-505-2569 fax,
978,413 East 9th Street,413 East 9th Street is a   low-rise  walk-up  building.,"413 East 9th Street,  New York, NY 10009","East Village,   Manhattan",5 no-fee ads,1900,5 floors 24 units,,,,
979,416 East 13th Street,416 East 13th Street is a   mid-rise  walk-up  building.,"416 East 13th Street,  New York, NY 10009","East Village,   Manhattan",1 no-fee ad,1900,6 floors 35 units,,9300 Realty Inc,212-228-9300,
980,416 Lafayette Street,416 Lafayette Street is a   low-rise  landmark elevator  building.,"416 Lafayette Street,  New York, NY 10003","NoHo,   Manhattan",(no current listings),1910,5 floors 41 units,,,,
981,417 East 12th Street,417 East 12th Street is a   mid-rise  walk-up  building.,"417 East 12th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1920,6 floors 15 units,,,,
982,417 East 6th Street,417 East 6th Street is a   mid-rise  landmark walk-up  building.,"417 East 6th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1900,6 floors 24 units,,,,
983,417 East 9th Street,417 East 9th Street is a   low-rise  walk-up  building.    The apartments  have  high ceilings.  Rent includes heat.,"417 East 9th Street,  New York, NY 10009","East Village,   Manhattan",3 no-fee ads,1920,5 floors 22 units,,Jakobson Properties,212-533-1300,
984,42 Bank Street,42 Bank Street is a   mid-rise  landmark walk-up  building.,"42 Bank Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1900,6 floors 31 units,,,,
985,42 Clinton Street,42 Clinton Street is a   mid-rise  walk-up  building.,"42 Clinton Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,6 floors 18 units,,,,
986,42 Grove Street,42 Grove Street is a   mid-rise  landmark walk-up  building.,"42 Grove Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,6 floors 33 units,,,,
987,42 Horatio Street,42 Horatio Street is a   low-rise  landmark walk-up  building.,"42 Horatio Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,5 floors 20 units,,,,
988,42 Market Street,42 Market Street is a   low-rise  walk-up  building.,"42 Market Street,  New York, NY 10002","Chinatown, Two Bridges,   Manhattan",1 no-fee ad,1910,4 floors 18 units,,,,
989,42 Perry Street,42 Perry Street is a   low-rise  landmark walk-up  building.,"42 Perry Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,5 floors 22 units,,S.W. Management / City & Suburban,212-517-3000,
990,42 Rivington Street,42 Rivington Street is a   mid-rise  walk-up  building.    The apartments  have  high ceilings.,"42 Rivington Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,6 floors 30 units,,,,
991,420 East 10th Street,420 East 10th Street is a   low-rise  walk-up  building.,"420 East 10th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
992,422 East 14th Street,422 East 14th Street is a  post-war  low-rise  walk-up  building.    The apartments  have  high ceilings.,"422 East 14th Street,  New York, NY 10009","East Village,   Manhattan",2 no-fee ads,1960,5 floors 19 units,,Jakobson Properties,212-533-1300,
993,424 East 10th Street,424 East 10th Street is a  post-war  mid-rise  elevator  building.,"424 East 10th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1950,7 floors 23 units,,,,
994,424 East 13th Street,424 East 13th Street is a   mid-rise  walk-up  building.,"424 East 13th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1900,6 floors 35 units,,,,
995,424 East 14th Street,424 East 14th Street is a   low-rise  walk-up  building.,"424 East 14th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1930,5 floors 21 units,,,,
996,424 East 9th Street,424 East 9th Street is a   low-rise  walk-up  building.,"424 East 9th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1929,5 floors 18 units,,9300 Realty Inc,212-228-9300,
997,425 East 6th Street,425 East 6th Street is a   low-rise  landmark walk-up  building.,"425 East 6th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1920,5 floors 18 units,,,,
998,425 West Broadway,425 West Broadway is a   mid-rise  landmark elevator  building.,"425 West Broadway,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1910,6 floors 26 units,,,,
999,426 East 9th Street,426 East 9th Street is a   low-rise  walk-up  building.,"426 East 9th Street,  New York, NY 10009","East Village,   Manhattan",1 no-fee ad,1900,5 floors 20 units,,,,
1000,429 East 6th Street,429 East 6th Street is a   low-rise  landmark walk-up  building.,"429 East 6th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1920,5 floors 20 units,,,,
1001,43 Avenue C,43 Avenue C is a  modern  mid-rise  elevator  building.   The building's amenities include a laundry.,"43 Avenue C,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),2003,7 floors 22 units,,"The Downtown, LLC",,
1002,43 Clinton Street,43 Clinton Street is a   low-rise  walk-up  building.,"43 Clinton Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1910,5 floors 16 units,,,,
1003,43 East 1st Street,43 East 1st Street is a   low-rise  walk-up  building.,"43 East 1st Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
